AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FCAPDST_1,FCAPDST_2,FCAPDST_3,FCAPDST_4,FCAPDST_5,FCAPDST_6,FCAPDST_7,FCAPDST_8
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,"Total farm capital (under $50,000) - Farms Reporting","Total farm capital ($50,000-$99,999) - Farms Reporting","Total farm capital ($100,000-$199,999) - Farms Reporting","Total farm capital ($200,000-$349,999) - Farms Reporting","Total farm capital ($350,000-$499,999) - Farms Reporting","Total farm capital ($500,000-$999,999) - Farms Reporting","Total farm capital ($1,000,000-$1,499,999) - Farms Reporting","Total farm capital ($1,500,000 and over) - Farms Reporting"
110303034,1103034,11,3,3,34,Lot 12,20,1,6,3,5,4,1,0,0
110303036,1103036,11,3,3,36,Lot 11,22,3,1,5,5,3,3,1,1
110303041,1103041,11,3,3,41,Lot  6,42,5,4,6,4,3,3,8,9
110303044,1103044,11,3,3,44,Lot  9,19,1,1,7,1,3,6,0,0
110303046,1103046,11,3,3,46,Lot  8,35,1,0,5,7,4,8,5,5
110303048,1103048,11,3,3,48,Lot  7,28,1,2,5,6,2,7,3,2
110303049,1103049,11,3,3,49,Lot  5,26,3,1,5,8,1,4,0,4
110303051,1103051,11,3,3,51,Lot  4,49,1,1,7,8,7,14,3,8
110303054,1103054,11,3,3,54,Lot  3,33,0,3,5,4,8,10,0,3
110303056,1103056,11,3,3,56,Lot  2,16,4,1,4,1,1,3,2,0
110303058,1103058,11,3,3,58,Lot  1,39,5,9,9,7,3,2,1,3
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453",494,666,"1,174",970,440,495,139,75
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,139,163,215,148,55,57,11,14
120101000,1201000,12,1,1,0,Shelburne County,29,13,3,6,6,1,0,0,0
120101006,1201006,12,1,1,6,Shelburne,29,13,3,6,6,1,0,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,24,26,39,17,10,12,3,2
120102001,1202001,12,1,2,1,Argyle,36,12,10,8,4,1,0,1,0
120102004,1202004,12,1,2,4,Yarmouth,97,12,16,31,13,9,12,2,2
120103000,1203000,12,1,3,0,Digby County,132,24,25,29,20,8,15,4,7
120103001,1203001,12,1,3,1,Clare,80,13,15,16,9,6,13,2,6
120103004,1203004,12,1,3,4,Digby,52,11,10,13,11,2,2,2,1
120104000,1204000,12,1,4,0,Queens County,58,9,18,15,10,2,3,1,0
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,9,18,15,10,2,3,1,0
120106000,1206000,12,1,6,0,Lunenburg County,450,69,91,126,95,34,27,3,5
120106001,1206001,12,1,6,1,Lunenburg,315,46,51,81,76,29,26,2,4
120106009,1206009,12,1,6,9,Chester,135,23,40,45,19,5,1,1,1
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,371",80,149,383,315,144,191,70,39
120205000,1205000,12,2,5,0,Annapolis County,271,16,37,90,68,27,22,9,2
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,5,5,14,4,3,1,0,1
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,3,13,30,18,5,4,2,0
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,4,10,26,28,8,9,4,0
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,4,9,20,18,11,8,3,1
120207000,1207000,12,2,7,0,Kings County,707,37,73,188,147,72,116,47,27
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,16,39,105,82,31,48,17,9
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,4,9,17,8,5,5,2,0
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,10,19,44,33,22,46,19,12
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,7,6,22,24,14,17,9,6
120208000,1208000,12,2,8,0,Hants County,393,27,39,105,100,45,53,14,10
120208001,1208001,12,2,8,1,West Hants,189,7,22,49,54,26,23,5,3
120208008,1208008,12,2,8,8,East Hants,204,20,17,56,46,19,30,9,7
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,304",171,207,317,274,137,143,37,18
120309000,1209000,12,3,9,0,Halifax County,210,33,33,51,46,20,21,3,3
120309012,1209012,12,3,9,12,"Halifax, Subd. C",23,3,2,8,6,1,2,1,0
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,7,7,10,6,2,3,0,0
120309026,1209026,12,3,9,26,"Halifax, Subd. E",54,7,5,16,13,3,7,1,2
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,10,12,9,16,10,7,1,0
120309036,1209036,12,3,9,36,"Halifax, Subd. G",33,6,7,8,5,4,2,0,1
120310000,1210000,12,3,10,0,Colchester County,538,59,72,138,120,56,68,18,7
120310001,1210001,12,3,10,1,"Colchester, Subd. C",206,16,26,32,48,26,42,12,4
120310008,1210008,12,3,10,8,"Colchester, Subd. B",187,18,19,64,47,14,19,4,2
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,25,27,42,25,16,7,2,1
120311000,1211000,12,3,11,0,Cumberland County,556,79,102,128,108,61,54,16,8
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",93,21,22,15,17,7,6,2,3
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",186,37,43,45,25,13,17,5,1
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",167,16,25,34,36,26,21,6,3
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,5,12,34,30,15,10,3,1
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,690,75,110,180,161,73,76,15,0
120412000,1212000,12,4,12,0,Pictou County,343,27,59,90,88,41,31,7,0
120412001,1212001,12,4,12,1,"Pictou, Subd. A",151,7,21,46,39,22,14,2,0
120412006,1212006,12,4,12,6,"Pictou, Subd. B",94,7,18,22,24,13,7,3,0
120412011,1212011,12,4,12,11,"Pictou, Subd. C",98,13,20,22,25,6,10,2,0
120413000,1213000,12,4,13,0,Guysborough County,100,24,25,26,14,3,7,1,0
120413001,1213001,12,4,13,1,St. Mary's,33,4,6,10,7,0,6,0,0
120413004,1213004,12,4,13,4,Guysborough,67,20,19,16,7,3,1,1,0
120414000,1214000,12,4,14,0,Antigonish County,247,24,26,64,59,29,38,7,0
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,17,17,39,36,16,25,5,0
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",92,7,9,25,23,13,13,2,0
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,286,29,37,79,72,31,28,6,4
120515000,1215000,12,5,15,0,Inverness County,130,7,22,37,25,14,21,2,2
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,1,5,6,6,2,4,0,1
120515006,1215006,12,5,15,6,"Inverness, Subd. B",69,3,8,19,14,9,13,2,1
120515011,1215011,12,5,15,11,"Inverness, Subd. A",36,3,9,12,5,3,4,0,0
120516000,1216000,12,5,16,0,Richmond County,18,6,1,4,3,3,0,1,0
120516001,1216001,12,5,16,1,"Richmond, Subd. C",18,6,1,4,3,3,0,1,0
120517000,1217000,12,5,17,0,Cape Breton County,104,11,12,29,34,9,6,2,1
120517030,1217030,12,5,17,30,Cape Breton,104,11,12,29,34,9,6,2,1
120518000,1218000,12,5,18,0,Victoria County,34,5,2,9,10,5,1,1,1
120518001,1218001,12,5,18,1,"Victoria, Subd. B",34,5,2,9,10,5,1,1,1
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"3,405",357,501,899,695,341,399,134,79
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,249",111,170,277,254,124,175,83,55
130110000,1310000,13,1,10,0,York County,366,41,60,91,84,36,40,12,2
130110004,1310004,13,1,10,4,Manners Sutton,37,2,7,12,10,5,1,0,0
130110011,1310011,13,1,10,11,Canterbury,19,4,2,5,5,2,1,0,0
130110016,1310016,13,1,10,16,Prince William,22,2,2,8,6,2,2,0,0
130110018,1310018,13,1,10,18,Kingsclear,35,6,3,11,6,3,5,1,0
130110021,1310021,13,1,10,21,Queensbury,37,2,6,7,9,5,5,2,1
130110024,1310024,13,1,10,24,Southampton,32,2,5,10,8,3,4,0,0
130110026,1310026,13,1,10,26,Bright,52,7,11,6,11,4,12,1,0
130110028,1310028,13,1,10,28,Douglas,44,3,8,10,11,2,4,5,1
130110031,1310031,13,1,10,31,Saint Marys,25,1,4,9,6,4,1,0,0
130110032,1310032,13,1,10,32,Fredericton,25,6,3,3,4,3,4,2,0
130110036,1310036,13,1,10,36,Stanley,38,6,9,10,8,3,1,1,0
130111000,1311000,13,1,11,0,Carleton County,474,46,54,101,99,49,66,32,27
130111001,1311001,13,1,11,1,Richmond,42,9,3,10,9,3,6,2,0
130111004,1311004,13,1,11,4,Woodstock,39,3,5,13,9,4,2,1,2
130111008,1311008,13,1,11,8,Northampton,25,2,3,9,6,3,2,0,0
130111011,1311011,13,1,11,11,Brighton,41,5,3,8,8,7,6,2,2
130111014,1311014,13,1,11,14,Wakefield,70,4,10,7,19,4,10,8,8
130111018,1311018,13,1,11,18,Wilmot,50,4,3,7,13,6,8,3,6
130111021,1311021,13,1,11,21,Simonds,19,3,2,6,3,0,1,1,3
130111024,1311024,13,1,11,24,Peel,35,5,3,5,8,6,4,3,1
130111026,1311026,13,1,11,26,Aberdeen,34,2,4,11,6,5,4,2,0
130111028,1311028,13,1,11,28,Kent,75,7,15,13,11,5,15,6,3
130111031,1311031,13,1,11,31,Wicklow,44,2,3,12,7,6,8,4,2
130112000,1312000,13,1,12,0,Victoria County,220,9,28,54,38,18,39,18,16
130112001,1312001,13,1,12,1,Andover,20,1,2,8,4,2,2,1,0
130112004,1312004,13,1,12,4,Perth,39,0,12,16,5,3,1,1,1
130112008,1312008,13,1,12,8,Gordon,38,3,5,12,6,2,7,1,2
130112014,1312014,13,1,12,14,Denmark,37,2,2,10,9,5,7,2,0
130112016,1312016,13,1,12,16,Grand Falls,38,3,5,5,5,1,7,4,8
130112021,1312021,13,1,12,21,Drummond,48,0,2,3,9,5,15,9,5
130113000,1313000,13,1,13,0,Madawaska County,189,15,28,31,33,21,30,21,10
130113001,1313001,13,1,13,1,Saint-AndrÇ,42,1,6,1,4,4,8,13,5
130113004,1313004,13,1,13,4,Saint-LÇonard,16,1,3,5,1,2,2,1,1
130113011,1313011,13,1,13,11,Sainte-Anne,18,2,4,6,1,3,2,0,0
130113015,1313015,13,1,13,15,Riviäre-Verte,27,4,4,7,6,3,3,0,0
130113022,1313022,13,1,13,22,Saint-Joseph,28,3,5,3,9,3,5,0,0
130113038,1313038,13,1,13,38,Clair,24,2,4,3,6,3,4,2,0
130113041,1313041,13,1,13,41,Saint-Franáois,34,2,2,6,6,3,6,5,4
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,957,112,136,251,203,115,112,20,8
130202000,1302000,13,2,2,0,Charlotte County,150,40,28,37,29,11,1,4,0
130202011,1302011,13,2,2,11,Pennfield,33,11,8,5,5,3,0,1,0
130202016,1302016,13,2,2,16,Saint George,19,9,5,2,2,1,0,0,0
130202034,1302034,13,2,2,34,Saint Stephen,16,1,4,5,4,2,0,0,0
130202039,1302039,13,2,2,39,Saint James,19,3,3,6,4,2,0,1,0
130202042,1302042,13,2,2,42,Saint David,36,7,4,10,10,2,1,2,0
130202044,1302044,13,2,2,44,Dumbarton,27,9,4,9,4,1,0,0,0
130203000,1303000,13,2,3,0,Sunbury County,120,24,19,32,22,11,12,0,0
130203001,1303001,13,2,3,1,Blissville,32,10,8,6,5,1,2,0,0
130203004,1303004,13,2,3,4,Gladstone,18,2,3,9,2,0,2,0,0
130203008,1303008,13,2,3,8,Lincoln,24,6,2,6,5,4,1,0,0
130203011,1303011,13,2,3,11,Burton,17,5,0,6,4,1,1,0,0
130203016,1303016,13,2,3,16,Maugerville,29,1,6,5,6,5,6,0,0
130204000,1304000,13,2,4,0,Queens County,162,13,23,50,38,18,18,2,0
130204004,1304004,13,2,4,4,Gagetown,19,1,2,6,3,4,3,0,0
130204006,1304006,13,2,4,6,Hampstead,28,3,4,9,7,2,3,0,0
130204008,1304008,13,2,4,8,Wickham,20,1,3,5,5,3,2,1,0
130204011,1304011,13,2,4,11,Cambridge,44,1,3,14,15,3,8,0,0
130204018,1304018,13,2,4,18,Waterborough,28,0,7,11,4,3,2,1,0
130204024,1304024,13,2,4,24,Chipman,23,7,4,5,4,3,0,0,0
130205000,1305000,13,2,5,0,Kings County,525,35,66,132,114,75,81,14,8
130205004,1305004,13,2,5,4,Upham,58,9,7,19,12,8,2,1,0
130205006,1305006,13,2,5,6,Hampton,24,2,5,5,3,8,1,0,0
130205014,1305014,13,2,5,14,Kingston,22,1,1,5,10,3,1,0,1
130205016,1305016,13,2,5,16,Norton,16,0,2,1,5,4,3,1,0
130205018,1305018,13,2,5,18,Norton,32,1,2,10,5,5,7,2,0
130205021,1305021,13,2,5,21,Sussex,58,5,9,9,11,8,10,5,1
130205024,1305024,13,2,5,24,Waterford,21,1,2,7,7,2,2,0,0
130205026,1305026,13,2,5,26,Cardwell,30,4,3,7,6,3,5,0,2
130205028,1305028,13,2,5,28,Havelock,51,3,4,14,10,9,8,2,1
130205031,1305031,13,2,5,31,Studholm,119,4,13,23,24,20,30,3,2
130205034,1305034,13,2,5,34,Springfield,39,1,3,15,11,3,6,0,0
130205036,1305036,13,2,5,36,Kars,18,0,5,5,3,1,4,0,0
130205038,1305038,13,2,5,38,Greenwich,18,4,5,4,3,1,1,0,0
130205056,1305056,13,2,5,56,Quispamsis,19,0,5,8,4,0,1,0,1
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,787,77,122,254,157,74,71,22,10
130306000,1306000,13,3,6,0,Albert County,139,18,26,49,26,7,9,3,1
130306001,1306001,13,3,6,1,Hopewell,36,5,9,9,8,2,2,1,0
130306008,1306008,13,3,6,8,Elgin,45,6,8,16,9,2,3,1,0
130306011,1306011,13,3,6,11,Hillsborough,27,3,6,11,4,2,1,0,0
130306014,1306014,13,3,6,14,Coverdale,31,4,3,13,5,1,3,1,1
130307000,1307000,13,3,7,0,Westmorland County,465,35,76,149,94,46,43,15,7
130307001,1307001,13,3,7,1,Westmorland,43,2,12,14,14,0,0,0,1
130307004,1307004,13,3,7,4,Botsford,45,1,9,11,11,8,3,2,0
130307008,1307008,13,3,7,8,Sackville,83,8,16,34,13,4,5,3,0
130307013,1307013,13,3,7,13,Memramcook,53,6,12,15,9,4,4,1,2
130307016,1307016,13,3,7,16,Shediac,58,9,7,21,5,3,10,3,0
130307019,1307019,13,3,7,19,Moncton,84,7,14,19,20,9,9,3,3
130307024,1307024,13,3,7,24,Salisbury,99,2,6,35,22,18,12,3,1
130308000,1308000,13,3,8,0,Kent County,183,24,20,56,37,21,19,4,2
130308001,1308001,13,3,8,1,Dundas,34,4,3,13,7,4,3,0,0
130308004,1308004,13,3,8,4,Wellington,23,2,2,8,6,1,3,0,1
130308006,1308006,13,3,8,6,Saint Mary,32,5,2,8,9,7,1,0,0
130308008,1308008,13,3,8,8,Saint-Paul,29,8,6,5,3,2,4,1,0
130308014,1308014,13,3,8,14,Weldford,42,2,5,13,8,6,6,1,1
130308016,1308016,13,3,8,16,Richibucto,23,3,2,9,4,1,2,2,0
130400000,1300000,13,4,0,0,Agricultural Region 4 - RÇgion agricole 4,412,57,73,117,81,28,41,9,6
130409000,1309000,13,4,9,0,Northumberland County,141,23,22,40,32,9,10,5,0
130409004,1309004,13,4,9,4,Glenelg,23,3,1,7,2,3,7,0,0
130409024,1309024,13,4,9,24,Ludlow,18,3,4,5,5,0,1,0,0
130409026,1309026,13,4,9,26,Southesk,24,1,3,11,5,3,0,1,0
130409031,1309031,13,4,9,31,Newcastle,29,3,5,5,10,2,1,3,0
130409036,1309036,13,4,9,36,Alnwick,47,13,9,12,10,1,1,1,0
130414000,1314000,13,4,14,0,Restigouche County,98,9,11,27,17,7,20,3,4
130414001,1314001,13,4,14,1,Durham,27,1,3,9,6,1,7,0,0
130414008,1314008,13,4,14,8,Dalhousie,23,2,4,7,3,2,1,1,3
130414021,1314021,13,4,14,21,Saint-Quentin,48,6,4,11,8,4,12,2,1
130415000,1315000,13,4,15,0,Gloucester County,173,25,40,50,32,12,11,1,2
130415001,1315001,13,4,15,1,Saumarez,44,11,12,11,5,2,2,0,1
130415008,1315008,13,4,15,8,Bathurst,44,3,5,17,10,7,1,1,0
130415016,1315016,13,4,15,16,New Bandon,21,1,4,5,5,1,4,0,1
130415021,1315021,13,4,15,21,Saint-Isidore,30,6,9,8,6,0,1,0,0
130415026,1315026,13,4,15,26,Caraquet,34,4,10,9,6,2,3,0,0
240000000,2400000,24,0,0,0,Quebec - QuÇbec,"35,991","1,649","3,012","7,310","9,010","5,424","7,068","1,545",973
240100000,2400000,24,1,0,0,Bas-Saint-Laurent,"2,482",143,250,505,719,429,383,44,9
240107000,2407000,24,1,7,0,La MatapÇdia,259,12,16,56,77,54,39,5,0
240107020,2407020,24,1,7,20,Saint-Jacques-le-Majeur-de-Causapscal,19,0,1,2,8,4,3,1,0
240107025,2407025,24,1,7,25,Saint-Raphaâl-d'Albertville,17,1,4,6,3,2,1,0,0
240107030,2407030,24,1,7,30,Saint-LÇon-le-Grand,25,1,1,6,9,6,2,0,0
240107040,2407040,24,1,7,40,Sainte-Iräne,44,2,3,10,13,9,7,0,0
240107047,2407047,24,1,7,47,Amqui,45,2,1,8,16,8,7,3,0
240107055,2407055,24,1,7,55,Saint-Edmond,19,0,1,7,6,3,2,0,0
240107070,2407070,24,1,7,70,Saint-Tharcisius,21,2,0,5,8,5,1,0,0
240107080,2407080,24,1,7,80,Val-Brillant,30,2,3,6,6,7,5,1,0
240107085,2407085,24,1,7,85,Sayabec,18,2,0,3,2,6,5,0,0
240107105,2407105,24,1,7,105,Saint-Damase,21,0,2,3,6,4,6,0,0
240108000,2408000,24,1,8,0,Matane,171,8,11,44,49,28,29,1,1
240108025,2408025,24,1,8,25,Sainte-FÇlicitÇ,17,1,0,6,4,1,5,0,0
240108045,2408045,24,1,8,45,Saint-Luc,45,1,3,14,12,7,7,1,0
240108050,2408050,24,1,8,50,Petit-Matane,32,5,2,6,11,7,1,0,0
240108065,2408065,24,1,8,65,Saint-LÇandre,18,1,1,6,4,2,4,0,0
240108075,2408075,24,1,8,75,Saint-Ulric-de-Matane,33,0,2,6,13,6,5,0,1
240108080,2408080,24,1,8,80,Baie-des-Sables,26,0,3,6,5,5,7,0,0
240109000,2409000,24,1,9,0,La Mitis,321,12,34,63,100,62,47,2,1
240109010,2409010,24,1,9,10,Saint-Charles-Garnier,22,1,3,7,7,3,1,0,0
240109015,2409015,24,1,9,15,Les Hauteurs,36,1,1,5,10,11,8,0,0
240109020,2409020,24,1,9,20,Sainte-Jeanne-d'Arc,20,0,6,4,5,4,1,0,0
240109025,2409025,24,1,9,25,Saint-Gabriel,36,1,3,5,10,7,10,0,0
240109030,2409030,24,1,9,30,Saint-Donat,27,3,4,7,8,1,4,0,0
240109035,2409035,24,1,9,35,Sainte-Angäle-de-MÇrici,35,2,6,7,9,8,2,1,0
240109055,2409055,24,1,9,55,Saint-Octave-de-MÇtis,51,1,2,12,18,9,9,0,0
240109085,2409085,24,1,9,85,Sainte-Flavie,52,1,6,8,25,7,4,1,0
240109095,2409095,24,1,9,95,Sainte-Luce,42,2,3,8,8,12,8,0,1
240110000,2410000,24,1,10,0,Rimouski-Neigette,296,20,34,48,77,50,56,10,1
240110015,2410015,24,1,10,15,Saint-Narcisse-de-Rimouski,35,4,6,7,5,8,4,1,0
240110025,2410025,24,1,10,25,Saint-Marcellin,21,3,4,5,3,2,3,1,0
240110030,2410030,24,1,10,30,Saint-Anaclet-de-Lessard,35,1,1,1,12,5,10,5,0
240110045,2410045,24,1,10,45,Rimouski,37,2,4,4,11,9,7,0,0
240110050,2410050,24,1,10,50,Sainte-Odile-sur-Rimouski,19,0,0,4,2,7,6,0,0
240110055,2410055,24,1,10,55,Sainte-Blandine,17,0,4,4,3,2,3,1,0
240110060,2410060,24,1,10,60,Saint-ValÇrien,26,2,3,6,11,2,2,0,0
240110065,2410065,24,1,10,65,Le Bic,42,1,4,7,12,3,13,1,1
240110070,2410070,24,1,10,70,Saint-Fabien,40,3,0,8,12,11,5,1,0
240110075,2410075,24,1,10,75,Saint-Eugäne-de-Ladriäre,24,4,8,2,6,1,3,0,0
240111000,2411000,24,1,11,0,Les Basques,240,13,25,54,83,37,25,2,1
240111005,2411005,24,1,11,5,Saint-ClÇment,29,0,1,6,14,5,2,0,1
240111010,2411010,24,1,11,10,Saint-Jean-de-Dieu,50,1,2,11,18,11,6,1,0
240111015,2411015,24,1,11,15,Sainte-Rita,28,6,6,8,7,1,0,0,0
240111030,2411030,24,1,11,30,Sainte-Franáoise,22,3,6,5,5,3,0,0,0
240111035,2411035,24,1,11,35,Saint-êloi,27,0,1,3,8,8,6,1,0
240111045,2411045,24,1,11,45,Notre-Dame-des-Neiges-des-Trois-Pistoles,47,1,4,11,22,4,5,0,0
240111050,2411050,24,1,11,50,Saint-Mathieu-de-Rioux,17,2,2,6,4,2,1,0,0
240111055,2411055,24,1,11,55,Saint-Simon,20,0,3,4,5,3,5,0,0
240112000,2412000,24,1,12,0,Riviäre-du-Loup,310,19,22,62,89,57,57,4,0
240112005,2412005,24,1,12,5,Saint-Cyprien,26,2,1,9,9,2,3,0,0
240112010,2412010,24,1,12,10,Saint-Hubert,26,3,1,8,5,3,6,0,0
240112015,2412015,24,1,12,15,Saint-Antonin,39,5,5,10,10,7,2,0,0
240112030,2412030,24,1,12,30,Saint-êpiphane,26,2,4,4,8,4,4,0,0
240112035,2412035,24,1,12,35,Saint-Paul-de-la-Croix,18,1,0,6,7,2,1,1,0
240112050,2412050,24,1,12,50,Saint-Jean-Baptiste-de-l'Isle-Verte,55,1,4,6,18,14,10,2,0
240112060,2412060,24,1,12,60,Saint-Georges-de-Cacouna,27,2,0,4,6,5,9,1,0
240112065,2412065,24,1,12,65,Saint-Arsäne,58,1,2,8,16,17,14,0,0
240112075,2412075,24,1,12,75,Saint-Patrice-de-la-Riviäre-du-Loup,35,2,5,7,10,3,8,0,0
240113000,2413000,24,1,13,0,TÇmiscouata,367,35,53,80,102,49,43,4,1
240113005,2413005,24,1,13,5,DÇgelis,25,2,1,2,7,7,5,1,0
240113015,2413015,24,1,13,15,Packington,35,3,7,7,5,8,5,0,0
240113030,2413030,24,1,13,30,Saint-Eusäbe,33,3,8,7,9,4,2,0,0
240113035,2413035,24,1,13,35,Notre-Dame-du-Lac,29,0,2,9,9,4,5,0,0
240113040,2413040,24,1,13,40,Saint-Juste-du-Lac,27,2,4,9,5,3,4,0,0
240113045,2413045,24,1,13,45,Auclair,29,4,3,9,7,3,3,0,0
240113050,2413050,24,1,13,50,Lejeune,26,3,1,7,10,2,3,0,0
240113055,2413055,24,1,13,55,Biencourt,32,3,4,6,10,4,4,1,0
240113065,2413065,24,1,13,65,Saint-Michel-du-Squatec,38,4,11,5,13,2,3,0,0
240113080,2413080,24,1,13,80,Saint-Louis-du-Ha! Ha!,18,2,2,2,3,5,2,2,0
240113095,2413095,24,1,13,95,PohÇnÇgamook,52,5,8,13,16,4,6,0,0
240113100,2413100,24,1,13,100,Saint-Athanase,23,4,2,4,8,3,1,0,1
240114000,2414000,24,1,14,0,Kamouraska,518,24,55,98,142,92,87,16,4
240114005,2414005,24,1,14,5,Mont-Carmel,35,1,6,7,13,3,4,1,0
240114020,2414020,24,1,14,20,Saint-Pascal,57,4,7,16,10,10,7,2,1
240114025,2414025,24,1,14,25,Sainte-HÇläne,45,1,4,8,20,7,4,1,0
240114030,2414030,24,1,14,30,Saint-Joseph-de-Kamouraska,18,0,1,5,5,1,6,0,0
240114035,2414035,24,1,14,35,Saint-Alexandre,56,2,4,11,16,14,8,1,0
240114040,2414040,24,1,14,40,Saint-AndrÇ,34,1,1,8,15,6,3,0,0
240114050,2414050,24,1,14,50,Kamouraska,41,0,0,4,10,10,12,4,1
240114055,2414055,24,1,14,55,Saint-Denis,30,0,1,6,10,4,6,3,0
240114060,2414060,24,1,14,60,Saint-Philippe-de-NÇri,46,3,6,5,15,8,5,3,1
240114065,2414065,24,1,14,65,Riviäre-Ouelle,38,0,3,6,7,8,13,1,0
240114075,2414075,24,1,14,75,Saint-Gabriel-Lalemant,29,3,5,6,5,4,6,0,0
240114080,2414080,24,1,14,80,Saint-OnÇsime-d'Ixworth,24,3,7,10,2,2,0,0,0
240114090,2414090,24,1,14,90,Sainte-Anne-de-la-Pocatiäre,65,6,10,6,14,15,13,0,1
240200000,2400000,24,2,0,0,Saguenay--Lac-Saint-Jean--Cìte-Nord,"1,358",71,112,269,341,233,278,40,14
240291000,2491000,24,2,91,0,Le Domaine-du-Roy,221,14,18,45,71,27,42,3,1
240291010,2491010,24,2,91,10,Saint-AndrÇ-du-Lac-Saint-Jean,26,4,5,5,7,4,1,0,0
240291020,2491020,24,2,91,20,Chambord,26,0,2,2,15,4,3,0,0
240291035,2491035,24,2,91,35,Saint-Prime,46,2,2,8,9,10,14,0,1
240291040,2491040,24,2,91,40,Saint-FÇlicien,37,2,2,7,10,2,12,2,0
240291045,2491045,24,2,91,45,Saint-MÇthode,41,3,3,13,17,1,4,0,0
240291050,2491050,24,2,91,50,La DorÇ,17,2,2,2,4,2,4,1,0
240291902,2491902,24,2,91,902,Lac-Ashuapmushuan,28,1,2,8,9,4,4,0,0
240292000,2492000,24,2,92,0,Maria-Chapdelaine,287,20,30,59,73,48,47,7,3
240292005,2492005,24,2,92,5,Saint-Augustin,21,1,1,3,7,5,3,1,0
240292015,2492015,24,2,92,15,Sainte-Jeanne-d'Arc,29,2,3,8,2,5,6,2,1
240292030,2492030,24,2,92,30,Albanel,47,5,12,7,10,4,9,0,0
240292040,2492040,24,2,92,40,Normandin,78,6,1,13,21,21,14,1,1
240292050,2492050,24,2,92,50,Saint-Edmond,29,1,0,9,9,6,4,0,0
240292055,2492055,24,2,92,55,Girardville,24,2,1,7,8,2,3,1,0
240292065,2492065,24,2,92,65,Saint-Eugäne,32,1,6,5,11,3,6,0,0
240292902,2492902,24,2,92,902,Chute-des-Passes,27,2,6,7,5,2,2,2,1
240293000,2493000,24,2,93,0,Lac-Saint-Jean-Est,406,8,23,59,88,101,107,15,5
240293010,2493010,24,2,93,10,MÇtabetchouan,49,1,3,7,9,16,11,1,1
240293015,2493015,24,2,93,15,Lac-Ö-la-Croix,41,0,0,5,10,17,8,1,0
240293020,2493020,24,2,93,20,HÇbertville,83,0,3,10,15,21,27,4,3
240293030,2493030,24,2,93,30,Saint-Bruno,47,0,1,5,14,11,14,2,0
240293035,2493035,24,2,93,35,Saint-GÇdÇon,39,1,1,2,9,14,11,1,0
240293040,2493040,24,2,93,40,Alma,35,1,2,4,6,10,10,1,1
240293045,2493045,24,2,93,45,Saint-Nazaire,19,1,2,5,6,2,2,1,0
240293050,2493050,24,2,93,50,Delisle,46,1,1,8,12,5,17,2,0
240293065,2493065,24,2,93,65,L'Ascension-de-Notre-Seigneur,31,1,10,12,5,1,2,0,0
240293070,2493070,24,2,93,70,Saint-Henri-de-Taillon,16,2,0,1,2,4,5,2,0
240294000,2494000,24,2,94,0,Le Fjord-du-Saguenay,372,20,33,88,91,47,75,13,5
240294005,2494005,24,2,94,5,Petit-Saguenay,17,1,2,3,6,4,1,0,0
240294035,2494035,24,2,94,35,Saint-Fulgence,17,3,3,3,5,2,0,1,0
240294040,2494040,24,2,94,40,La Baie,44,3,1,6,12,5,12,3,2
